Column,word,desc,time,lang,pos
2223,sur,"sur
                  m.
                  
                  (Noun)
                  ""south""
               
                    Late 15th cent. Borrowed from French sud 'id.,' itself borrowed from Old English suþ 'id.'",15th cent.,French,Noun
2224,"sur-, sobre-","sur-, sobre-
                  
                  
                  (Prefix)
                  ""over""
               
                    Prefix sobre- is from Latin super- 'id.,' from the preposition super. Prefix sur- is from Latin sur-, a syncopation of super-. See sobre.",No Time Found,Latin,No POS found
2226,suyo,"suyo
                  
                  
                  (Personal Pronoun)
                  ""(of) his;"" ""(of) hers;"" ""(of) theirs;"" ""(of) yours""
               
                    Old Spanish súo. From Latin suus 'id.' 
                    From Proto-Italic *sowós. From Proto-Indo-European *seu̯ós 'id.,' from *su̯e ""self"" (whence se).",No Time Found,Old Spanish,Pronoun
2227,tabla,"tabla
                  f.
                  
                  (Noun)
                  ""plank;"" ""slab""
               
                    12th cent. From Vulgar Latin tabla 'id.' From Latin tabula ""board.""
                    From Proto-Italic *taflā- 'id.' Of uncertain origin.
                 

Indo-European




Romance
Portuguese talião, Italian taglione

 
Indo-European

 
Romance
Portuguese talião, Italian taglione",12th cent.,Vulgar Latin,Noun
2228,taca (1),"taca (1)
                  f.
                  
                  (Noun)
                  ""small closet""
               
                    Very early 17th cent. Borrowed from Andalusian Arabic ṭáqa ""window."" From Arabic ṯāq 'id.,' which was borrowed from Persian ṭāq 'id.'",17th cent.,Andalusian Arabic,Noun
2229,taca (2),"taca (2)
                  f.
                  
                  (Noun)
                  ""stain""
               
                    12th cent. From Vulgar Latin *tacca 'id.' Borrowed from a Germanic language with the structure *taik(k)- ""sign"" (cf. Gothic taikns ""omen"").
                    Derived from Proto-Germanic *taikna- ""sign."" Perhaps from a Proto-Indo-European root *dei̯ḱ- meaning ""to show.""
                 

Indo-European




Romance
Catalan taca, Occitan taca, Italian tacca


Germanic
Gothic taikns ""omen,"" Old Norse teikn ""sign,"" Old High German zeihhan ""sign,"" Old Dutch teikan 'id.,' Old Saxon tēken 'id.,' Old Frisian tēken 'id.,' Old English tācn 'id.' (English token)


Hellenic
Ancient Greek δεικνῠ́ναι (deiknynai) ""to point out""


Indo-Iranian
Sanskrit diś ""to point out""

 
Indo-European

 
Romance
Catalan taca, Occitan taca, Italian tacca
 
Germanic
Gothic taikns ""omen,"" Old Norse teikn ""sign,"" Old High German zeihhan ""sign,"" Old Dutch teikan 'id.,' Old Saxon tēken 'id.,' Old Frisian tēken 'id.,' Old English tācn 'id.' (English token)
 
Hellenic
Ancient Greek δεικνῠ́ναι (deiknynai) ""to point out""
 
Indo-Iranian
Sanskrit diś ""to point out""",12th cent.,Vulgar Latin,Noun
2230,taca (3),"taca (3)
                  f.
                  
                  (Noun)
                  ""crucible plate""
               
                    14th cent. Borrowed from French taque 'id.' According to Corominas (1991), taque was borrowed from Low German tak ""cast iron plate,"" but no supporting sources found.",14th cent.,French,Noun
2231,taca (4),"taca (4)
                  f.
                  
                  (Noun)
                  (Chile) ""Bivalvia mollusk""
               
                    According to Actes (1901), from Mapuche thaca 'id.'
                    
                 
Variants
Chile cháca ""Venus thaca shell,"" ""labia minora,"" traca ""Bivalvia mollusk""",No Time Found,Mapuche,Noun
2232,tacaño,"tacaño
                  
                  
                  (Adjective)
                  ""stingy""
               
                    14th cent. Old Spanish meaning ""rogue."" Of unknown origin. Popularly connect with Hebrew taqanah ""agreement"" (Corominas 1991). As Roberts (2014) explained, tacaño was ""a word used in financial operations, and adopted by Christians in a pejor[ative] sense."" Romance scholars are more skeptical. ""Corominas' philological survey of the spotty record of tacaño ... is as scrupulous as any exacting reader can demand.... But on the positive side he remains completely unconvincing. Between [Old Spanish] tacana 'payment' (whose stress pattern remains problematic), also [Judeo-Spanish] tacaná 'ruling, arrangement' flanked by the verb atacanar (Balkan peninsula), on the one hand, and, on the other Late [Old Spanish] tacaño 'rogue,' 'evildoer' there remains a triple gap: prosodic, semantic-stylistic, and morphological-derivational. If an original Orientalism is at all involved, it qualifies only as a very dubious one."" ~ Malkiel, ""Dubious, Pseudo-, Hybrid, and Mock-Orientalisms in Romance"" (1991)
                    
                 

Indo-European




Romance
Italian taccagno

 
Indo-European

 
Romance
Italian taccagno",14th cent.,Old Spanish,Adjective
2233,tajar,"tajar
                  
                  
                  (Verb)
                  ""to cut""
               
                    10th cent. From Latin taliare 'id.' From talea (botanical) ""cutting"" (see tálea). 
                    
                 

Indo-European




Romance
Asturian tayar, Galician tallar, Portuguese talhar, Catalan tallar, French tailler, Italian tagliare, Romanian tăia, Sardinian tazare


Italic
Umbrian tafle ""on the table""

 
Indo-European

 
Romance
Asturian tayar, Galician tallar, Portuguese talhar, Catalan tallar, French tailler, Italian tagliare, Romanian tăia, Sardinian tazare
 
Italic
Umbrian tafle ""on the table""",10th cent.,Latin,Verb
2234,tal,"tal
                  
                  
                  (Adjective)
                  ""such""
               
                    10th cent. From Latin talis 'id.' 
                    From Proto-Italic *tāli- 'id.' From Proto-Indo-European *teh2-li̯- 'id.' from the demonstrative stem *teh2.
                 

Indo-European




Romance
Portuguese tal, French tel, Italian tale, Romanian tare


Celtic
Welsh talu ""to pay,"" Middle Breton taluout ""to be worthy,"" Cornish tal ""to pay""


Balto-Slavic
Old Church Slavonic tolь ""so much,"" Lithuanian tõlei ""until""


Hellenic
Ancient Greek τηλίκος (telíkos) ""of such an age""

 
Indo-European

 
Romance
Portuguese tal, French tel, Italian tale, Romanian tare
 
Celtic
Welsh talu ""to pay,"" Middle Breton taluout ""to be worthy,"" Cornish tal ""to pay""
 
Balto-Slavic
Old Church Slavonic tolь ""so much,"" Lithuanian tõlei ""until""
 
Hellenic
Ancient Greek τηλίκος (telíkos) ""of such an age""",10th cent.,Latin,Adjective
2235,tálea,"tálea
                  f.
                  
                  (Noun)
                  ""Roman palisade""
               
                    From Latin talea ""stick.""
                    Of unknown origin.
                 

Indo-European




Romance
Italian talea

 
Indo-European

 
Romance
Italian talea",No Time Found,Latin,Noun
2236,talento,"talento
                  m.
                  
                  (Noun)
                  ""talent;"" (money) ""talent""
               
                    12th cent. From Medieval Latin talentum 'id.,' borrowed from Ancient Greek τάλαντον ‎(tálanton) ""talent,"" ""balance.""
                    From Proto Indo-European *tl̥h2-ent- ""bearing."" From the root *telh2- ""to bear.""
                 

Indo-European




Romance
Portuguese talento, tento, Catalan talent, French talent, Italian talento

 
Indo-European

 
Romance
Portuguese talento, tento, Catalan talent, French talent, Italian talento",12th cent.,Latin,Noun
2237,tamal (1),"tamal (1)
                  m.
                  
                  (Noun)
                  ""tamale""
               
                    16th cent. From Nahuatl tamalli ""bread made of steamed corn meal,"" ""small cake"" (but lit. ""wrapped""). According to Parodi (2006), one of the first loanwords from Nahuatl into Spanish.",16th cent.,Nahuatl,Noun
2239,tamaño,"tamaño
                  m.
                  
                  (Adjective, Noun)
                  ""big;"" ""size""
               
                    11th cent. Old Spanish tamanno. An adjectival from the Latin phrase tam magnus ""so great."" For the etymology of tam, see tan; for the etymology of magnus, see magno.
                    
                 

Indo-European




Romance
Asturian tamañu, Portuguese tamanho, Galician tamaño

 
Indo-European

 
Romance
Asturian tamañu, Portuguese tamanho, Galician tamaño",11th cent.,Old Spanish,Noun
2240,támara (1),"támara (1)
                  f.
                  
                  (Noun)
                  ""date palm""
               
                    Early 17th cent. From Andalusian Arabic támra ""date,"" from Arabic tamrah 'id.'",17th cent.,Andalusian Arabic,Noun
2241,támara (2),"támara (2)
                  f.
                  
                  (Noun)
                  ""bundle of sticks,"" (kindling) ""faggot""
               
                    10th cent. Of unknown origin. Possibly from Vulgar Latin *termina ""bundle of sticks,"" from Latin termes ""branch."" See Barrado (1985).
                    
                 

Indo-European




Romance
Galician támara

 
Indo-European

 
Romance
Galician támara",10th cent.,Vulgar Latin,Noun
2245,tañer,"tañer
                  
                  
                  (Verb)
                  (music) ""to play""
               
                    12th cent. Originally meaning ""to touch."" The sense development parallels tocar. From Latin tangere ""to touch.""
                    From Proto-Italic *tang-e- 'id.' From Proto-Indo-European *th2-n̥-g- 'id.' From the root *teh2g- of the same meaning.
                 

Indo-European




Romance
Portuguese tanger, Italian tangere


Italic
Umbrian antakres ""by the untouched""


Germanic
Gothic tekan ""to touch,"" Old Norse taka ""to take,"" ""to touch,"" English to take


Hellenic
Ancient Greek τεταγών (tetagón) ""having seized""


Tocharian
B ceśäṃ ""to touch""

 
Indo-European

 
Romance
Portuguese tanger, Italian tangere
 
Italic
Umbrian antakres ""by the untouched""
 
Germanic
Gothic tekan ""to touch,"" Old Norse taka ""to take,"" ""to touch,"" English to take
 
Hellenic
Ancient Greek τεταγών (tetagón) ""having seized""
 
Tocharian
B ceśäṃ ""to touch""",12th cent.,Latin,Verb
2247,tanga (2),"tanga (2)
                  f.
                  
                  (Noun)
                  (underwear) ""thong""
               
                    From Kimbundu ntanga ""loincloth.""",No Time Found,Kimbundu,Noun
2248,"tángana, tangana","tángana, tangana
                  f.
                  
                  (Noun)
                  ""wooden stake used in quoits,"" ""quoits;"" ""cheater;"" (Antilles & Venezuela) ""violent discussion""
               
                    18th cent. From tanga (1).",18th cent.,Old Spanish,Noun
2250,tango (1),"tango (1)
                  m.
                  
                  (Noun)
                  ""quoits""
               
                    19th cent. Name of a game played by players tossing discs at wooden stakes in the ground. A traditional game played throughout all of Spain; the earliest recorded name is ""chita."" From the Old Spanish phrase yo tango ""I touched it."" In Old Spanish times, when a disc successfully strikes the wooden stake, the player announces ""yo tango.""",19th cent.,Old Spanish,Noun
2251,tango (2),"tango (2)
                  m.
                  
                  (Noun)
                  ""tango""
               
                    19th cent. Of uknown origin. Perhaps from a Niger-Congo language.",19th cent.,Niger-Congo,Noun
2255,tanto,"tanto
                  
                  
                  (Adjective)
                  ""so much""
               
                    12th cent. From Latin tantum, accusative of tantus 'id.'
                    From Proto-Italic *tānto- ""so great."" From Proto-Indo-European *teh2-nt-(o-) 'id.,' from demonstrative stem *teh2- (see tal) and *-nt(o)- (a common ending of unclear meaning, see Lowe (2011) for discussion).
                 
Tan (adv.) ""so,"" ""also"" is an apocopated form.
                 

Indo-European




Romance
Portuguese tanto, Catalan tant, French tant, Italian tanto


Italic
Oscan etanto ""so great,"" Umbrian etantu 'id.'

 
Indo-European

 
Romance
Portuguese tanto, Catalan tant, French tant, Italian tanto
 
Italic
Oscan etanto ""so great,"" Umbrian etantu 'id.'",12th cent.,Latin,Adjective
2256,tara (1),"tara (1)
                  f.
                  
                  (Noun)
                  ""tare""
               
                    Verly early 16th cent. 15th cent. Old Spanish atara. From Andalusian Arabic ṭáraḥ 'id.,' from Arabic ṭarḥ",16th cent.,Old Spanish,Noun
2257,tara (2),"tara (2)
                  f.
                  
                  (Noun)
                  (Venezuela) ""tally stick""
               
                    Traditionally supposed to be a variant of tarja (2) from Old Spanish taja, but the sound changes are unexplained.
                    
                 
                  In 1694, the Canarian historian Tomás Arias Marín de Cubas noted that indigenous Canarians called astrological etchings found in caves tara and tarja. It may be that the sound change from tarja to tara arose from the early Canarian peoples, or it may be that the etchings are named after the Guanche toponym Tara and that there is no connection between the Canary islands and this word.",No Time Found,Old Spanish,Noun
2258,tara (3),"tara (3)
                  f.
                  
                  (Noun)
                  (Bolivia & Peru) ""Tara spinosa""
               
                    19th cent. The name of a small, thorny bush cultivated as a source of tannins. From Quechua tara 'id.'",19th cent.,Quechua,Noun
2259,tarde,"tarde
                  
                  
                  (Adverb, Noun)
                  ""late;"" ""afternoon""
               
                    12th cent. From Latin tarde 'id.,' from tardus ""slow."" Of unknown etymology.
                    
                 

Indo-European




Romance
Portuguese tardo, Catalan tard, French tardif, Italian tardo, Aromanian  tãrdzãu, Romanian târziu, Sardinian taldu

 
Indo-European

 
Romance
Portuguese tardo, Catalan tard, French tardif, Italian tardo, Aromanian  tãrdzãu, Romanian târziu, Sardinian taldu",12th cent.,Latin,Noun
2260,tarea,"tarea
                  f.
                  
                  (Noun)
                  work; ""homework""
               
                    Very late 15th cent. Old Spanish atarea. From Arabic ṭarīḥa ""endeavor,"" from Classical Arabic ṭáraḥa ""to throw.""
                    
                 

Indo-European




Romance
Portuguese tarefa, Galician tarefa

 
Indo-European

 
Romance
Portuguese tarefa, Galician tarefa",15th cent.,Old Spanish,Noun
2261,tarja (1),"tarja (1)
                  f.
                  
                  (Noun)
                  ""shield""
               
                    15th cent. Borrowed from Old French targe 'id.' Borrowed from Old English *targe 'id.' or a similar Germanic source.
                    From Proto-Germanic *targōn- ""edge."" Derived from a pre-form *dorgh- ""to separate"" of unknown origin.
                 

Indo-European




Romance
Portuguese tarja, French targe, Italian targa


Germanic
Old Norse targa ""small shield,"" Old High German zarga ""edge,"" Old English targe ""small shield""


Balto-Slavic
Old Church Slavonic po-dragъ ""edge""

 
Indo-European

 
Romance
Portuguese tarja, French targe, Italian targa
 
Germanic
Old Norse targa ""small shield,"" Old High German zarga ""edge,"" Old English targe ""small shield""
 
Balto-Slavic
Old Church Slavonic po-dragъ ""edge""",15th cent.,French,Noun
2262,tarja (2),"tarja (2)
                  f.
                  
                  (Noun)
                  ""tally;"" ""tallying stick""
               
                    Very Early 17th cent. Old Spanish taja, although the appearance of -r- in Modern Spanish is unexpected (compare tajar, which has remained unaltered). From Latin taliare ""to tally"" (see tajar).
                    
                 

Indo-European




Romance
Asturian tallar, Portuguese talhar, Catalan tallar, French tailler, Italian tagliare, Aromanian talj, Romanian tăia

 
Indo-European

 
Romance
Asturian tallar, Portuguese talhar, Catalan tallar, French tailler, Italian tagliare, Aromanian talj, Romanian tăia",17th cent.,Old Spanish,Noun
2263,tarjeta,"tarjeta
                  f.
                  
                  (Noun)
                  ""card""
               
                    19th cent. Borrowed from Old French targette ""small shield,"" diminutive of targe ""shield"" (see tarja).
                    
                 

Indo-European




Romance
Italian targhetta

 
Indo-European

 
Romance
Italian targhetta",19th cent.,French,Noun
2264,tarugo,"tarugo
                  m.
                  
                  (Noun)
                  ""wooden plug,"" (El Salvador & Nicaragua) ""wood block;"" (slang) ""stupid person""
               
                    14th cent. Of unknown origin but probably from a pre-Roman language as *tar-u- ""wooden stake"" (cf. tarusa).
                    
                 

Indo-European




Romance
Portuguese tarugo, French taranche, French (Rouergue) tarenco


Celtic
Gaulish tarinca ""stake,"" Old Irish tairnge 'id.'

 
Indo-European

 
Romance
Portuguese tarugo, French taranche, French (Rouergue) tarenco
 
Celtic
Gaulish tarinca ""stake,"" Old Irish tairnge 'id.'",14th cent.,French,Noun
2267,taxímetro,"taxímetro
                  m.
                  
                  (Noun)
                  ""taxi;"" ""taxi meter""
               
                    A calque of French taximètre, a portmanteau from Ancient Gree τάξις (táxis) ""arrangement"" (see taxi-) and μέτρον ‎(métron) ""measure"" (see metro).",No Time Found,French,Noun
2268,"taxi-, -taxi","taxi-, -taxi
                  
                  (Prefix, Suffix)
                  
                  ""arrangement""
               
                    Borrowed from Ancient Greek τάξις (táxis) 'id.,' from the verb τάσσειν (tássein) ""to cut,"" ""to arrange.""
                    From Proto-Indo-European *teh2g- ""to order.""
                 

Indo-European




Indo-Iranian
Nisa Parthian tgmdr ""commander,"" Old Persian ham-ataxšata ""they have put in order""


Tocharian
A tāśśi ""chiefs,"" B tāś ""commander""

 
Indo-European

 
Indo-Iranian
Nisa Parthian tgmdr ""commander,"" Old Persian ham-ataxšata ""they have put in order""
 
Tocharian
A tāśśi ""chiefs,"" B tāś ""commander""",No Time Found,Ancient Greek,No POS found
2269,te,"te
                  
                  
                  (Pronoun)
                  ""you,"" ""to you""
               
                    From Latin te 'id.,' the accusative and ablative of tu ""you.""
                    Latin accusative te from Proto-Italic *tē, from Proto-Indo-European *tu̯e. Latin ablative te from Proto-Italic *ted, from Proto-Indo-European *tu̯ed.",No Time Found,Latin,Pronoun
2270,té,"té
                  m.
                  
                  (Noun)
                  ""tea""
               
                    18th cent. Borrowed from Amoy tê 'id.'",18th cent.,Amoy,Noun
2271,-te,"-te
                  
                  (Suffix)
                  
                  Occurs in place names and surnames, primarily around Mexico. From Nahuatl -che, a suffix denoting trees or houses made of wood.",No Time Found,Nahuatl,No POS found
2273,techo,"techo
                  m.
                  
                  (Noun)
                  ""roof""
               
                    Very early 13th cent. From Latin tectum 'id.,' from tegere ""to cover.""
                    From Proto-Italic *teg-e/o- 'id.,' from Proto-Indo-European *(s)teg-e/o- 'id.,' but the earlier form was *(s)teg- without the thematic vowel.
                 

Indo-European




Romance
Asturian techu, Portuguese teto, Galician teito, French toit, Italian tetto


Celtic
Old Irish tech ""house,"" Old Welsh tig 'id.,' Old Breton bou-tig ""stable,"" Old Cornish ti ""house""


Germanic
Old Norse þak ""roof,"" Old High German dach 'id.,' Old English þæc 'id.'


Balto-Slavic
Old Prussian stogis ""roof,"" Lithuanian stógas 'id.,' Latvian stâgs 'id.'


Hellenic
Ancient Greek τέγος (tégos) ""roof""

 
Indo-European

 
Romance
Asturian techu, Portuguese teto, Galician teito, French toit, Italian tetto
 
Celtic
Old Irish tech ""house,"" Old Welsh tig 'id.,' Old Breton bou-tig ""stable,"" Old Cornish ti ""house""
 
Germanic
Old Norse þak ""roof,"" Old High German dach 'id.,' Old English þæc 'id.'
 
Balto-Slavic
Old Prussian stogis ""roof,"" Lithuanian stógas 'id.,' Latvian stâgs 'id.'
 
Hellenic
Ancient Greek τέγος (tégos) ""roof""",13th cent.,Latin,Noun
2274,tejer,"tejer
                  
                  
                  (Verb)
                  ""to weave""
               
                    13th cent. From Latin texere 'id.' 
                    From Proto-Italic *teks-e/o- 'id.,' from *teḱ-s- ""to fashion"" (from the older root *teḱ- ""to beget"").
                 

Indo-European




Romance
Asturian texer, Portuguese tecer, Catalan teixir, French tisser, Italian tessere, Aromanian tsas, Romanian tese, Sardinian tèssere


Germanic
Middle High German dehsen ""to break flax""


Hellenic
Mycenaean te-ka-ta-si ""builders""


Indo-Iranian
Sanskrit tákṣati ""he hammers,"" ""he forms,"" Old Avestan tāšt ""he fashions""

 
Indo-European

 
Romance
Asturian texer, Portuguese tecer, Catalan teixir, French tisser, Italian tessere, Aromanian tsas, Romanian tese, Sardinian tèssere
 
Germanic
Middle High German dehsen ""to break flax""
 
Hellenic
Mycenaean te-ka-ta-si ""builders""
 
Indo-Iranian
Sanskrit tákṣati ""he hammers,"" ""he forms,"" Old Avestan tāšt ""he fashions""",13th cent.,Latin,Verb
2275,tele-,"tele-
                  
                  
                  (Prefix)
                  ""distant""
               
                    16th cent. Borrowed from Ancient Greek τῆλε ‎(têle) ""at a distance.""
                    From Proto-Indo-European *kwel- ""far.""
                 

Indo-European




Celtic
Middle Welsh pell ""far,"" Middle Breton pell 'id.,' Cornish pell 'id.'

 
Indo-European

 
Celtic
Middle Welsh pell ""far,"" Middle Breton pell 'id.,' Cornish pell 'id.'",16th cent.,Ancient Greek,No POS found
2278,tema,"tema
                  m.
                  
                  (Noun)
                  ""topic""
               
                    15th cent. From Latin thema 'id.,' borrowed from Ancient Greek θέμα ‎(théma) ""proposal,"" ""topic.""
                    From Proto-Indo-European *dheh1- ""to place.""
                 

Indo-European




Romance
Portuguese teima, French thème, Italian tema, Romanian temă

 
Indo-European

 
Romance
Portuguese teima, French thème, Italian tema, Romanian temă",15th cent.,Latin,Noun
2279,temer,"temer
                  
                  
                  (Verb)
                  ""to fear""
               
                    12th cent. From Latin timere 'id.' Of unknown origin.
                    
                 

Indo-European




Romance
Asturian temer, Portuguese temer, Catalan témer, Italian temere, Romanian teme, Sardinian timere

 
Indo-European

 
Romance
Asturian temer, Portuguese temer, Catalan témer, Italian temere, Romanian teme, Sardinian timere",12th cent.,Latin,Verb
2280,temprano,"temprano
                  
                  
                  (Adverb)
                  ""early""
               
                    12th cent. From Vulgar Latin temporanus 'id.,' from Latin temporaneus 'id.' From tempus ""time"" (see tiempo).",12th cent.,Vulgar Latin,Adverb
2281,tender,"tender
                  
                  
                  (Verb)
                  ""to spread""
               
                    12th cent. From Latin tendere 'id.'
                    From Proto-Italic *tend- 'id.' From Proto-Indo-European *ten-d(h)- 'id.,' from *ten- ""to stretch"" (see tener).
                 

Indo-European




Romance
Asturian tender, Portuguese tender, Catalan tendir, French tendre, Italian tendere, Aromanian tindu, Romanian tinde, Sardinian tendere

 
Indo-European

 
Romance
Asturian tender, Portuguese tender, Catalan tendir, French tendre, Italian tendere, Aromanian tindu, Romanian tinde, Sardinian tendere",12th cent.,Latin,Verb
2283,tener,"tener
                  
                  
                  (Verb)
                  ""to have""
               
                    10th cent. From Latine tenere ""to hold.""
                    From Proto-Italic  *t(e)nē- ""to snare,"" a stative verb formed from Proto-Indo-European *tn-eh1- 'id.,' from *ten- ""to stretch."" 
                 

Indo-European




Romance
Asturian tener, Portuguese ter, Galician ter, Catalan tenir, French tenir, Italian tenere, Aromanian tsãn, Romanian ține, Sardinian tènnere


Italic
Umbrian tenitu ""he held""


Celtic
Middle Welsh tannu ""to spread out,"" Middle Cornish tan ""take!""


Germanic
Gothic ufþanjan ""to extend,"" Old Norse þenja ""to stretch,"" Old High German dennan 'id.,' Old Saxon thenian 'id.,' Old English þennan 'id.'


Balto-Slavic
Lithuanian tìnti ""to swell,"" Latvian tît ""to wrap""


Hellenic
Ancient Greek τόνος (tónos) ""cord""


Indo-Iranian
Sanskrit tanóti ""to stretch,"" Old Avestan us-tāna- ""stretched out""

 
Indo-European

 
Romance
Asturian tener, Portuguese ter, Galician ter, Catalan tenir, French tenir, Italian tenere, Aromanian tsãn, Romanian ține, Sardinian tènnere
 
Italic
Umbrian tenitu ""he held""
 
Celtic
Middle Welsh tannu ""to spread out,"" Middle Cornish tan ""take!""
 
Germanic
Gothic ufþanjan ""to extend,"" Old Norse þenja ""to stretch,"" Old High German dennan 'id.,' Old Saxon thenian 'id.,' Old English þennan 'id.'
 
Balto-Slavic
Lithuanian tìnti ""to swell,"" Latvian tît ""to wrap""
 
Hellenic
Ancient Greek τόνος (tónos) ""cord""
 
Indo-Iranian
Sanskrit tanóti ""to stretch,"" Old Avestan us-tāna- ""stretched out""",10th cent.,Latin,Verb
2284,teniente (1),"teniente (1)
                  
                  
                  (Noun)
                  ""lieutenant;"" (f.) ""lieutenant's wife""
               
                    16th cent. From lugarteniente, literally ""placeholding."" From Medieval Latin locum tenentem 'id.' For the etymology of locum, see lugar; for the etymology of tenentem, see teniente (2).",16th cent.,Latin,Noun
2285,teniente (2),"teniente (2)
                  m.
                  
                  (Noun)
                  ""holding""
               
                    From Latin tenentem, accusative of tenere ""to hold"" (see tener).",No Time Found,Latin,Noun
2286,terminar,"terminar
                  
                  
                  (Verb)
                  ""to finish,"" ""to end""
               
                    13th cent. From Latin terminare 'id.,' from terminus ""end"" (see termino).",13th cent.,Latin,Verb
2287,termino,"termino
                  m.
                  
                  (Noun)
                  ""end,"" ""ending""
               
                    13th cent. From Latin terminus 'id.' 
                    From Proto-Italic *termn-o- ""boundary post,"" an ablauting n-stem from *ter-mn- ""boundary stone."" From Proto-Indo-European *ter-mn- ""peg."" The exact meaning of the root *ter- is unclear, possibly meaning ""to drill.""
                 

Indo-European




Romance
Portuguese término,, French terme, Italian termine, Romanian țărm


Italic
Oscan teremenniú ""boundary stone,"" Umbrian termnas ""he delimits,"" Venetic termonios ""the boundary,"" Pre-Samnite τερμανι (termani) ""on the boundary""


Hellenic
Ancient Greek τέρμα (térma) ""goal""

 
Indo-European

 
Romance
Portuguese término,, French terme, Italian termine, Romanian țărm
 
Italic
Oscan teremenniú ""boundary stone,"" Umbrian termnas ""he delimits,"" Venetic termonios ""the boundary,"" Pre-Samnite τερμανι (termani) ""on the boundary""
 
Hellenic
Ancient Greek τέρμα (térma) ""goal""",13th cent.,Latin,Noun
2288,-terra,"-terra
                  
                  Suffix
                  
                  ""earth""
               
                    Borrowed from Latin terra 'id.' (see tierra).",No Time Found,Latin,No POS found
2289,terrible,"terrible
                  
                  
                  (Adjective)
                  ""terrible""
               
                    Very early 15th cent. From Latin terribilis 'id.,' from terrere ""to frighten."" Probably from an earlier, unrecorded Latin form *terseje- 'id.,' before -rs- became -rr- (however, -rs- is preserved in the name of Tursa, goddess of terror).
                    From Proto-Italic *tros-eje- 'id.' From Proto-Indo-European *tros-ei̯e- 'id.' 
                 

Indo-European




Romance
Italian terribile


Italic
Umbrian tusetutu ""he scared,"" turse ""to Tursa""


Balto-Slavic
Lithuanian trišė́ti ""to tremble""


Hellenic
Ancient Greek τρεῖν (treîn) ""to tremble""


Indo-Iranian
Sanskrit trásanti ""he trembles,"" Young Avestan θrā̊ŋhaiia- ""to scare""

 
Indo-European

 
Romance
Italian terribile
 
Italic
Umbrian tusetutu ""he scared,"" turse ""to Tursa""
 
Balto-Slavic
Lithuanian trišė́ti ""to tremble""
 
Hellenic
Ancient Greek τρεῖν (treîn) ""to tremble""
 
Indo-Iranian
Sanskrit trásanti ""he trembles,"" Young Avestan θrā̊ŋhaiia- ""to scare""",15th cent.,Latin,Adjective
2290,tesoro,"tesoro
                  m.
                  
                  (Noun)
                  ""treasure""
               
                    From Latin thesaurus 'id.,' borrowed from Ancient Greek θησαυρός (thesaurós) ""treasure,"" ""storehouse."" From the verb τῐθέναι (tithenai) ""to place.""
                    From late Proto-Indo-European *dhí-dheh1- 'id.,' reduplication of the Proto-Indo-European root *dheh1- ""to put.""
                 

Indo-European




Romance
Portuguese tesouro, Catalan tesaurus, French trésor, Italian tesauro, Romanian tezaur


Germanic
 Old English dyde (English did)


Indo-Iranian
Sanskrit dádhāti ""to place""

 
Indo-European

 
Romance
Portuguese tesouro, Catalan tesaurus, French trésor, Italian tesauro, Romanian tezaur
 
Germanic
 Old English dyde (English did)
 
Indo-Iranian
Sanskrit dádhāti ""to place""",No Time Found,Latin,Noun
2291,testigo,"testigo
                  
                  
                  (Noun)
                  ""witness""
               
                    12th cent. From Old Spanish testiguar ""to testify,"" having now become atestiguar.
                    
                 

Indo-European




Romance
Portuguese testificar, Italian testificare

 
Indo-European

 
Romance
Portuguese testificar, Italian testificare",12th cent.,Old Spanish,Noun
2292,tibia,"tibia
                  f.
                  
                  (Noun)
                  ""tibia;"" ""flute""
               
                    19th cent. From Latin tibia 'id.' In ancient times, flutes were made of bone.
                    Of uknown origin. Perhaps a loan from the same source as Ancient Greek σίφων (síphon) ""siphon,"" ""tube.""
                 

Indo-European




Romance
Portuguese tibia, Galician tibia, Catalan tíbia, French tibia, Italian tibia, Romanian tibia

 
Indo-European

 
Romance
Portuguese tibia, Galician tibia, Catalan tíbia, French tibia, Italian tibia, Romanian tibia",19th cent.,Latin,Noun
2293,tiempo,"tiempo
                  m.
                  
                  (Noun)
                  ""time;"" ""weather""
               
                    12th cent. From Latin tempus 'id.'
                    From Proto-Italic *tempos- ""stretch."" From Proto-Indo-European *temp-os- 'id.,' from the verbal root *temp- ""to stretch.""
                 

Indo-European




Romance
Asturian tiempu, Portuguese tempo, Galician tempo, Catalan temps, French temps, Italian tempo, Romanian timp, Sardinian tempus


Italic
Latin templum ""shrine""


Germanic
Old Norse þǫmb ""bow-string""


Balto-Slavic
BCS tetíva ""bow-string,"" Old Prussian tēmpran ""expensive,"" Lithuanian tem̃pti ""to pull""


Tocharian
A cämpäṣ ""is able,"" B campäṃ ""to be able""

 
Indo-European

 
Romance
Asturian tiempu, Portuguese tempo, Galician tempo, Catalan temps, French temps, Italian tempo, Romanian timp, Sardinian tempus
 
Italic
Latin templum ""shrine""
 
Germanic
Old Norse þǫmb ""bow-string""
 
Balto-Slavic
BCS tetíva ""bow-string,"" Old Prussian tēmpran ""expensive,"" Lithuanian tem̃pti ""to pull""
 
Tocharian
A cämpäṣ ""is able,"" B campäṃ ""to be able""",12th cent.,Latin,Noun
